Count	NIS
298	4.78934
299	0.199921
300	0.199921
301	7.07221
302	7.07221
303	0.81291
304	0.81291
305	6.06648
306	6.06648
307	1.44761
308	1.44761
309	1.7819
310	1.7819
311	0.906366
312	0.906366
313	1.51193
314	1.51193
315	2.08801
316	2.08801
317	2.03798
318	2.03798
319	2.34499
320	2.34499
321	2.10109
322	2.10109
323	3.98745
324	3.98745
325	2.57581
326	2.57581
327	0.61869
328	0.61869
329	4.17357
330	4.17357
331	1.86224
332	1.86224
333	1.2799
334	1.2799
335	4.6021
336	4.6021
337	8.46922
338	8.46922
339	2.35585
340	2.35585
341	0.910646
342	0.910646
343	1.47675
344	1.47675
345	3.25291
346	3.25291
347	1.37228
348	1.37228
349	4.58149
350	4.58149
351	3.05698
352	3.05698
353	2.25428
354	2.25428
355	1.657
356	1.657
357	4.03645
358	4.03645
359	1.75287
360	1.75287
361	2.08783
362	2.08783
363	4.09148
364	4.09148
365	1.76802
366	1.76802
367	0.366804
368	0.366804
369	0.694729
370	0.694729
371	4.60707
372	4.60707
373	0.68026
374	0.68026
375	1.28886
376	1.28886
377	1.62073
378	1.62073
379	7.79118
380	7.79118
381	0.0829601
382	0.0829601
383	11.1859
384	11.1859
385	3.20901
386	3.20901
387	0.852415
388	0.852415
389	1.04537
390	1.04537
391	1.1535
392	1.1535
393	2.6425
394	2.6425
395	2.00496
396	2.00496
397	4.30004
398	4.30004
399	2.20361
400	2.20361
401	1.88471
402	1.88471
403	1.25893
404	1.25893
405	8.86951
406	8.86951
407	7.04938
408	7.04938
409	0.131226
410	0.131226
411	0.663961
412	0.663961
413	2.84635
414	2.84635
415	1.90582
416	1.90582
417	0.740337
418	0.740337
419	0.272281
420	0.272281
421	9.19753
422	9.19753
423	2.13382
424	2.13382
425	0.926141
426	0.926141
427	2.08191
428	2.08191
429	4.75276
430	4.75276
431	1.35073
432	1.35073
433	4.73062
434	4.73062
435	2.00106
436	2.00106
437	3.94224
438	3.94224
439	8.28232
440	8.28232
441	1.36137
442	1.36137
443	5.68116
444	5.68116
445	4.87878
446	4.87878
447	1.28888
448	1.28888
449	0.986884
450	0.986884
451	4.21668
452	4.21668
453	1.87718
454	1.87718
455	7.44462
456	7.44462
457	3.62266
458	3.62266
459	0.524277
460	0.524277
461	0.359784
462	0.359784
463	0.870432
464	0.870432
465	0.622036
466	0.622036
467	7.72508
468	7.72508
469	7.09406
470	7.09406
471	0.571913
472	0.571913
473	2.71396
474	2.71396
475	0.294852
476	0.294852
477	1.71935
478	1.71935
479	0.233374
480	0.233374
481	1.87886
482	1.87886
483	9.004
484	9.004
485	0.373639
486	0.373639
487	6.7789
488	6.7789
489	4.0746
490	4.0746
491	1.68202
492	1.68202
493	3.74916
494	3.74916
495	1.9665
496	1.9665
497	1.22482
498	1.22482
