Count	NIS
303	6.82641
304	1.0505
305	1.0505
306	0.529417
307	0.529417
308	2.09736
309	2.09736
310	1.79115
311	1.79115
312	5.79226
313	5.79226
314	5.61489
315	5.61489
316	1.96305
317	1.96305
318	3.091
319	3.091
320	2.25211
321	2.25211
322	2.68876
323	2.68876
324	0.39682
325	0.39682
326	0.501895
327	0.501895
328	1.49681
329	1.49681
330	4.95039
331	4.95039
332	1.12816
333	1.12816
334	1.47406
335	1.47406
336	0.924611
337	0.924611
338	0.191281
339	0.191281
340	0.341146
341	0.341146
342	2.77569
343	2.77569
344	0.0539721
345	0.0539721
346	3.63039
347	3.63039
348	1.02687
349	1.02687
350	14.1077
351	14.1077
352	1.41153
353	1.41153
354	1.68332
355	1.68332
356	2.11811
357	2.11811
358	0.269761
359	0.269761
360	0.390701
361	0.390701
362	6.38709
363	6.38709
364	1.70613
365	1.70613
366	0.935517
367	0.935517
368	2.26395
369	2.26395
370	3.0456
371	3.0456
372	4.32901
373	4.32901
374	3.73175
375	3.73175
376	0.350793
377	0.350793
378	0.653413
379	0.653413
380	0.834454
381	0.834454
382	0.304237
383	0.304237
384	1.64039
385	1.64039
386	2.38219
387	2.38219
388	0.184461
389	0.184461
390	7.87874
391	7.87874
392	1.2148
393	1.2148
394	1.31687
395	1.31687
396	0.124659
397	0.124659
398	0.39691
399	0.39691
400	2.53244
401	2.53244
402	1.85138
403	1.85138
404	2.6136
405	2.6136
406	0.401139
407	0.401139
408	0.272648
409	0.272648
410	0.768251
411	0.768251
412	0.0952359
413	0.0952359
414	1.63222
415	1.63222
416	0.149355
417	0.149355
418	3.13037
419	3.13037
420	2.71019
421	2.71019
422	0.287524
423	0.287524
424	1.14572
425	1.14572
426	1.04273
427	1.04273
428	0.0576425
429	0.0576425
430	0.523004
431	0.523004
432	3.60838
433	3.60838
434	0.625642
435	0.625642
436	0.871679
437	0.871679
438	1.63582
439	1.63582
440	0.0477168
441	0.0477168
442	3.60576
443	3.60576
444	4.98164
445	4.98164
446	1.60637
447	1.60637
448	0.697392
449	0.697392
450	0.234814
451	0.234814
452	4.56591
453	4.56591
454	0.90365
455	0.90365
456	3.49697
457	3.49697
458	1.57921
459	1.57921
460	1.8008
461	1.8008
462	0.581755
463	0.581755
464	1.04681
465	1.04681
466	1.69345
467	1.69345
468	0.257771
469	0.257771
470	2.37374
471	2.37374
472	8.05713
473	8.05713
474	0.743224
475	0.743224
476	2.94074
477	2.94074
478	2.01305
479	2.01305
480	1.82911
481	1.82911
482	0.177699
483	0.177699
484	5.06497
485	5.06497
486	0.461284
487	0.461284
488	1.89623
489	1.89623
490	0.180088
491	0.180088
492	0.158895
493	0.158895
494	7.88301
495	7.88301
496	4.28701
497	4.28701
498	0.432935
