Count	NIS
298	1.68854
299	0.385908
300	0.270548
301	6.93538
302	6.21333
303	0.875758
304	0.321358
305	6.76694
306	0.56833
307	1.09813
308	3.06545
309	1.92593
310	3.0778
311	1.36136
312	3.67176
313	1.99298
314	3.61865
315	2.40751
316	0.841565
317	2.26277
318	2.1886
319	2.02563
320	3.10456
321	2.46705
322	1.94813
323	3.67124
324	1.24891
325	2.87548
326	0.861287
327	0.27734
328	1.54298
329	4.51653
330	5.35807
331	1.97889
332	2.1155
333	2.3091
334	0.465248
335	5.18277
336	1.3031
337	8.03871
338	0.513123
339	1.69361
340	0.171136
341	0.621811
342	2.55419
343	1.71031
344	0.268402
345	3.98379
346	2.91458
347	1.02882
348	1.0876
349	4.88518
350	15.809
351	1.5305
352	0.739406
353	2.31585
354	1.69574
355	1.80035
356	2.56301
357	6.34712
358	0.701957
359	2.03109
360	1.09403
361	0.998465
362	4.6521
363	3.08682
364	1.99923
365	2.10792
366	0.742338
367	0.938238
368	2.47627
369	1.87225
370	2.94439
371	3.41985
372	5.62305
373	0.317006
374	2.55265
375	1.85122
376	0.474121
377	1.26884
378	0.51259
379	6.16389
380	0.730494
381	0.122696
382	0.453895
383	11.3936
384	2.07884
385	3.30835
386	4.40476
387	0.241603
388	1.29071
389	1.62336
390	5.86292
391	1.19319
392	1.38324
393	2.00044
394	1.08689
395	1.69883
396	0.102922
397	5.22997
398	0.461374
399	2.20141
400	2.52494
401	1.74493
402	1.9138
403	1.75809
404	3.31053
405	6.88864
406	0.0843621
407	7.92474
408	0.232379
409	0.385099
410	0.72806
411	0.538258
412	0.10738
413	3.18506
414	1.70746
415	2.1195
416	0.158618
417	1.10533
418	3.71116
419	0.610121
420	2.02384
421	9.03181
422	0.434146
423	2.31977
424	0.923559
425	0.860059
426	1.21033
427	3.07075
428	0.0351275
429	4.94751
430	0.124294
431	1.6535
432	4.18674
433	5.48449
434	1.10475
435	1.71958
436	0.256532
437	2.75428
438	2.13843
439	5.69152
440	0.108311
441	1.487
442	4.56387
443	5.87878
444	2.86911
445	4.76076
446	1.40314
447	1.38182
448	0.550684
449	0.954837
450	0.888883
451	4.54621
452	6.1623
453	1.70546
454	0.790231
455	6.00763
456	3.90912
457	2.97771
458	1.77064
459	0.512847
460	2.24796
461	0.128632
462	1.62275
463	0.663819
464	0.239369
465	0.248505
466	1.19629
467	8.0359
468	0.510237
469	6.56754
470	1.91172
471	0.652858
472	8.6259
473	1.75495
474	0.547127
475	0.343728
476	3.8076
477	1.32236
478	1.959
479	0.4005
480	1.76622
481	2.85202
482	0.733346
483	9.92095
484	2.87542
485	0.201243
486	0.940792
487	6.95615
488	1.84894
489	4.09784
490	0.544535
491	2.72739
492	0.805499
493	6.68956
494	6.66184
495	1.18925
496	4.02391
497	1.78456
498	0.51761
499	3.11801
